e1711626e14c46deeb558be4960ea0910dc803e54686ebb1f498916ae06f1bef,0,1,0
58d6d30fef598a6ecf65fdbb72fc05c5ce34de309d3c0a901623b2c9d065f05e,1,1,2
ed646fafcc9f926915cd68c7bbf2982b56fcb65db43f0fa3a3be45c9e4e3afb2,2,1,2
49393b4e5a1b530bea3cf2a992343513038b05295a54de49c619f73fad5d7f58,3,1,0
952624229a63b5625ed0766bc690554329a2e39008ffade51ca8459e105755f3,4,1,2
38849fc296cf993996ee3bc588e5f660ee44b230cb2651587d8c6b581f335cad,5,1,1
ee161bc2ae0cb755479570fd7f6590f6aed161d20249778437b05a4b0b51e243,6,1,1
60f9e31b51c0db63c555cde2a7112033a5ae48a888674260e0c7b6dd6d572f08,7,1,2
3a012531b6a8cf6c400e37345d160f7ad4e713d3af5d19d2309707c924eb65ee,8,1,1
090f1978cc4324737af5e3f6093d866f80069d049fe9980db8a4b4305951566a,9,1,1
